room knife	9	15	13.331432342529297
horse village	0	111	98.802734375
table wine	0	259	243.0055389404297
system letter	13	0	5.247804164886475
clock town	0	42	37.3712043762207
mountain country	202	0	30.556211471557617
box library	11	0	3.047290086746216
printer town	0	12	8.871390342712402
shell town	1	26	19.111230850219727
butter girl	6	6	6.159722805023193
bottle coffee	0	15	12.375449180603027
bed husband	0	70	58.914146423339844
meadow spring	22	3	10.199804306030273
door button	1	20	14.507294654846191
wheel street	0	45	32.779014587402344
brother street	0	23	15.530783653259277
bank lake	74	0	9.012068748474121
border stream	11	5	7.207489013671875
window avenue	0	24	18.354265213012695
child friend	506	0	50.935218811035156
door meat	0	14	11.64697265625
acorn valley	0	11	6.575877666473389
form garden	18	0	6.918561935424805
schooner board	57	59	57.963722229003906
form bird	78	0	7.026602745056152
form bone	22	2	10.4430513381958
car wood	6	11	9.201884269714355
university library	14	0	4.567803859710693
herb garden	18	16	17.294727325439453
silver home	30	0	6.481760025024414
bridge passenger	0	14	12.61986255645752
road stream	0	108	95.25395965576172
capital road	21	0	2.3417670726776123
silver coin	120	0	13.19354248046875
book column	16	0	2.385150194168091
clock chair	0	26	18.838661193847656
stone farm	11	3	6.182058334350586
building flag	0	23	18.20735740661621
country canoe	14	0	2.670275926589966
gown print	14	0	5.235849380493164
floor cave	0	28	26.697999954223633
garden valley	3	31	21.38106918334961
son letter	203	0	24.617612838745117
book village	0	22	18.586959838867188
maid husband	24	7	12.840282440185547
shoe store	16	4	8.878156661987305
country coat	14	0	1.9227266311645508
roof boat	0	17	16.352466583251953
bridge wheel	0	14	9.980000495910645
bridge brother	0	15	11.848780632019043
bed bird	0	24	16.905672073364258
bottle wife	0	16	12.167656898498535
arrow bird	33	0	3.116511106491089
bank tower	24	1	9.675641059875488
plum tree	0	45	39.2548942565918
shop food	10	2	4.947780132293701
house toy	13	3	7.5222487449646
school captain	9	12	11.244973182678223
castle uncle	0	14	9.240448951721191
arm nerve	18	0	5.117117404937744
system room	11	0	3.0053532123565674
pan girl	11	0	2.1408941745758057
floor tail	0	14	13.224398612976074
stone plate	0	14	8.959447860717773
child queen	105	0	6.611751556396484
girl stool	0	17	15.144031524658203
girl suit	23	1	6.960415840148926
shelf fireplace	0	11	10.3270902633667
mountain volcano	0	13	8.83453369140625
altar king	16	0	2.803713083267212
canal sea	0	16	11.632786750793457
wheel gate	0	25	20.793354034423828
door wire	0	16	13.523496627807617
street column	4	19	13.191279411315918
temple treasure	1	13	8.051520347595215
bank store	11	0	2.9273033142089844
body skull	10	1	4.204001426696777
gold brick	19	0	2.9345247745513916
friend nonsense	19	0	2.1363584995269775
platform window	0	17	15.478164672851562
boat wood	17	35	28.89853286743164
arm platform	30	0	6.354091644287109
