3955340	In his tramps he visited scores of workshops and factories, but without success.	factory	workshop	0
9332474	This was now much less steep, although still steep enough for the guide to make me halt behind a tree, for fear of the stones dislodged by those behind.	stone	tree	1
5999240	The end was that he had to be taken down into his father's consulting room and laid upon a couch that stood there.	couch	room	1
4861181	It's one of the lonesomest stations in the forest."	station	forest	1
697857	As soon as his uncle's body had been laid in the family vault at Gatherum, men would call him Duke of Omnium;	vault	man	1
9971493	The captain stood on the bridge, the most commanding and, at the same time, the most exposed position in the vessel.	bridge	vessel	1
10968109	The result of my running-survey of the whole valley, from 10,000 to 16,000 feet, I have given along with a sketch-map of my routes in India, which accompanies this volume.	valley	route	0
4525316	Ezra and I can have no fears for each other about such things as food and clothing."	food	clothing	0
13255737	Payson contained two stores, where I hoped to buy a rifle, and hoped in vain.	rifle	store	0
2058798	But in old forest countries, where trees decay and grow hollow, the bees breed in them.	forest	country	0
2557764	and before night, two effective-looking Sisters were in charge at the hospital.	hospital	sister	0
7472877	Conscious of that figure still at the window, Winton made some passes with his fingers at the baby, and said:	window	baby	0
9035038	They refer the effect to magnetism induced in the plate by the magnet;	plate	magnet	0
6307829	I thank my stars that he is not steel-shod, and half-arise from the saddle at the impact of another flaming dagger.	saddle	star	0
2124977	he had seen his fair gardens wither, and his olives and his vines burnt up with drought;	olive	garden	1
11521963	I used to look at it from our windows with your Mamma, and you a little baby in her arms.	window	baby	1
6499856	Between the boats and the street there was a level place, where the fishermen's families had established themselves.	street	boat	1
4070366	When once the bells of the churches near the road were set ringing, they were speedily echoed by those of the villages beyond;	road	bell	1
8344876	Or say they are like virtuous mermaids, whose        Beginnings are fair faces, ends mere fishes;	mermaid	fish	0
9736265	I am inclined to think that this information is not far from the truth, for these persons, after obtaining a fresh stock of provision, have all returned to the diggings.	person	stock	0
3248093	There was a huge couch, a shrine opposite the bed, in which was a kneeling figure of black marble.	bed	marble	1
3430369	"It's about an old college graduate who was a regular fiend for football.	football	college	0
5594143	Saduko, yonder, also in the pool, and a little half-bred man with a gun jumping about upon the bank.	man	gun	1
4128113	but Bill, having opened the door, ran away out into the garden, and George, having paid the cabman, carried his mother's box in and entered the house with her.	box	house	1
1274026	The simple splendour of Northern dress arrayed against that of almost peasant plainness of the giant King of the South.	king	dress	0
1815699	'The dog's tail and ears have been sent down-stairs to be washed;	dog	tail	1
7708857	His bedroom door opens at an angle with my sitting-room door.	bedroom	door	1
9117036	It was after nine before we got back to the hotel and took our tea in peace.	hotel	tea	1
7323756	yea, that hell itself was set forth by the valley of the sons of Hinnom and Tophet, places in this country.	son	valley	1
11916999	as their building so loftily, keeping about churches and cathedrals, and in the venerable groves of old castles and manor-houses, sufficiently manifests.	building	church	1
10211950	As the butcher with the sheep, I kill to live;	butcher	sheep	0
2742776	The rabbit boy sucks an orange, slobbers in the tea, insists on coffee and milk, tries a piece of lemon, and gets a biscuit.	boy	biscuit	1
6506958	Before the inn, in a little valley just below it, was a pond, such as they call here a loch.	pond	valley	1
2699645	I have already described my habitation, which was a tent under the side of a rock,--surrounded with a strong pale of posts and cables;	cable	rock	1
9910441	He found the master of the house seated in the central court, or skiffa, drinking coffee with his wife and children.	coffee	house	1
9255203	A dim haze of heat was hanging over the great city, and the roofs of the houses were like dull silver.	roof	city	1
1808450	Something reminded him that he had not thought himself so, until the roses had floated away upon the river.	rose	river	1
7138305	And when the hero leaves for prison Heaven has to take care of his wife and child till he comes out;	wife	prison	0
13253880	Once or twice the lion disappeared behind stones and cedars.	stone	lion	1
6497636	while the sheds, with the monster wheels arching through the roofs, look like the paddle boxes of huge steamers.'"	roof	box	0
1676307	In all parts of the window were quantities of dirty bottles--blacking bottles, medicine bottles, ginger-beer and soda-water bottles, pickle bottles, wine bottles, ink bottles;	bottle	window	1
11968159	England, during the protectorate, became an uncomfortable residence to such as had signalized themselves as adherents to the house of Stuart.	residence	house	0
10365499	I could not distinguish my hand at arm's-length from the track, nor my goad, at the same distance, from the meadows or the sky.	meadow	hand	0
7558205	but before he reached home again, driving with Irene in a hansom, he saw that this would not do, and he was glad the play had ended as it had.	home	play	0
3748101	and when next she gave a high tea,--not the grand repast to which she intended to invite the Buskirks on the hill,--she invited Miss Cushing.	tea	hill	0
8220098	At last Therese put a dish of fruit on the table, a small collection of oranges, raisins, and nuts.	collection	table	0
5638786	The inn-keeper made a grab at it, missed his footing and rolled down the ladder, falling heavily on the floor below.	ladder	floor	1
331559	The second objection is met by the circumstance that ladies were not usually picked out for men, nor men for women.	man	woman	0
1131012	We have a relic of a delicate temple here,' said Lord Montfort, directing her gaze to another window.	relic	window	1
3220472	Said he was going to put up a factory to make boots and shoes.	shoe	factory	0
6712252	In a minute both boats were silently drifting down the stream, within reach of the bushes that overhung the water, all observing a profound silence;	bush	stream	1
3659909	asked one old man evidently from the country, as he pointed to a board stuck full of the glittering blades.	board	country	0
4019663	"You are a capital imitator of your father, Jack," Bob said, as he brought his hand down heavily on the shoulder of the young clerk;	capital	hand	0
1877287	At last, the box is set before the boy;	box	boy	1
3836285	She says six months at sea will kill her, and then she has all sorts of ideas in her head about the natives.	sea	head	0
3081583	He plunged into one of his drawers, and brought up a small gold-foiled bottle.	bottle	drawer	0
4029363	The three men sprang to their feet, waving their hats, while the party on the ledge also leapt up with a shout.	man	hat	0
12001325	Why, friend Lomaque, cried the jailer, advancing toward the courtyard, "what brings you here this morning, business or pleasure?"	friend	courtyard	1
6628916	In both countries, the poor coachmen sit for hours on their carriage-boxes, like so many ducks, in the drizzle and rain.	country	duck	0
5270434	Now turn again, turn again, said the pinder, For a wrong way you have gone, For you have forsaken the king's highway, And made a path over the corn."	king	path	0
11899751	better than using churches and large public buildings like the Patent office.	building	church	0
8670471	The potatoes, cabbage and turnips were bubbling away cheerfully, and everything was going as merrily as a marriage bell.	cabbage	potato	0
7577146	With one hand Bodkin proffered the pictures to the foreign market, with the other he formed a list of private British collectors.	hand	market	0
2651573	and the poor lady, that brought him £3000 portion, was turned into the street with five small children to take care of.	child	street	0
4641008	The moment it held me I knew it was not a woman's arm.	arm	woman	1
5658798	"There my lords will find a nook, and three stone chests in the nook, two sealed and one open."	stone	chest	0
4062382	There was nothing unusual in the request, for the girl often accompanied him in his rambles when he was not going far into the forest.	forest	girl	0
11729466	the extreme dissimilarity of the males and females of many animals;	female	animal	0
10407605	They set off at a considerable trot, and the woman lumbered behind them, bellowing, till they met a third lantern--Rhoda holding Jimmy's hand.	woman	lantern	0
6835363	Raw facebones under his peep of day boy's hat.	boy	hat	1
7360143	and, gentlemen, when you come to St Bride's church (if ever you come to church, gentlemen), you shall see me in the pew that's next the pulpit;	pew	gentleman	0
13293314	I'm on duty here in New York at an armory bazaar.	armory	bazaar	1
12674090	Your fire attracts the rabbits.	fire	rabbit	1
10287796	A prophet has certainly a devil of a lot of honour (and much coins) in another country, whatever he has in his own.	country	coin	0
5362144	Another little girl presents herself, with abundant tresses and slim legs, her hands behind her, quite to the left;	leg	girl	1
641953	Go down to the end of that wooden bridge, seat yourself on the rail, and there sit till all the outer world is lost to you.	seat	bridge	0
12741091	I recognise my friends, my enemies, in countless cages.	cage	friend	1
9872789	In addition to which we have spare engines and empty trains, which perhaps ought to be added to the number given.	engine	train	0
8597144	"I'll never shoot another bird except hawks after chickens, and I won't brag about this one.	chicken	bird	0
9360288	A tray bearing the remains of a late breakfast stood on the rickety table beside a bowl of wax flowers.	bowl	table	1
3207747	"My friend," he exclaimed, "they all have to be answered--that collection there!	collection	friend	0
1795813	There, the table was laid for his supper, and his old grey gown was ready for him on his chair-back at the fire.	fire	gown	1
9007221	"Before I come on board your vessel," said he, "will you have the kindness to inform me whither you are bound?"	board	vessel	0
5028594	In front a fire burned by a water tank and the beam from the headlamp flickered across a small clearing and touched a wooden house.	house	tank	0
9146166	The pavement of the nave was chiefly of marble, and looked old and broken, and was shabbily patched here and there with tiles of brick;	marble	nave	0
1930429	By this time the hose was laid all through the house from a great tank on the roof, and everybody turned out to help.	house	tank	1
2545245	Upon it lay the knight, horribly scathed with Greek fire--he had dragged him there to die.	knight	fire	1
